# Simulation 1 (Up to date)
# 2126 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (183 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,70.381,0,70.381,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,6776.1,2514.5,0.93596,0.005374,NaN,83.968,NaN,0.0055939,182530,543.26,0,0.64054,0,0.48455,0.03599,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8,50.265,90,0,NaN,15,1013.2,340.39,0.01,4.9816e-4
0.01,0.003519,0.70381,204.16,0.70381,204.16,0,0,0,0,0,0,28.61,-80.6,9.7922,69.682,0,0,0,6776.1,2514.5,0.93596,0.005374,NaN,83.968,NaN,0.0059546,194300,1449.8,7.1076e-4,0.63339,0.056194,0.4774,0.03599,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0112e-5,8,50.265,90,0,NaN,15,1013.2,340.39,0.01,6.0094e-4
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.020771,2.7468,289.59,2.7468,289.59,0,0,0,0,0,0,28.61,-80.6,9.7922,34.636,0,0,0,6770.9,2509.3,0.93554,0.0053703,NaN,83.952,NaN,0.0098077,320026,2027.1,0.01952,0.58161,0.56888,0.42561,0.035991,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5169e-4,8,50.265,90,0,NaN,15,1013.2,340.39,0.01,6.8949e-4
0.03,0.062731,5.6459,333.32,5.6459,333.32,0,0,0,0,0,0,28.61,-80.6,9.7922,18.546,0,0,0,6762.3,2500.8,0.93485,0.0053643,NaN,83.925,NaN,0.017495,570861,2320.3,0.075238,0.53147,0.6891,0.37543,0.035996,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2287e-4,8,50.265,90,0,NaN,15,1013.2,340.39,0.01,7.6626e-4
0.04,0.13587,8.9834,357.5,8.9834,357.5,0,0,0,0,0,0,28.61,-80.6,9.7922,11.886,0,0,0,6751.9,2490.3,0.934,0.0053569,NaN,83.893,NaN,0.02697,880020,2480.1,0.16007,0.49958,0.61692,0.34348,0.036005,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011502,8,50.265,90,0,NaN,14.999,1013.2,340.39,0.01,8.4099e-4
0.05,0.2436,12.564,367.75,12.564,367.75,0,0,0,0,0,0,28.61,-80.6,9.7922,8.5435,0,0,0,6740.2,2478.6,0.93306,0.0053487,NaN,83.857,NaN,0.037324,1217863,2544.4,0.27534,0.48132,0.55408,0.32512,0.03602,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016086,8,50.265,90,0,NaN,14.998,1013.2,340.39,0.0079594,9.1578e-4
0.057959,0.35526,15.494,368.94,15.494,368.94,0,0,0,0,0,0,28.61,-80.6,9.7922,6.9588,0,0,0,6729.1,2467.5,0.93216,0.0053409,NaN,83.823,NaN,0.045857,1496280,2548.5,0.39673,0.47664,0.5289,0.32033,0.036035,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019838,8,50.265,90,0,NaN,14.998,1013.2,340.39,0.006454,9.9181e-4
0.064413,0.46295,17.878,369.92,17.878,369.92,0,0,0,0,0,0,28.61,-80.6,9.7922,6.048,0,0,0,6720,2458.4,0.93143,0.0053345,NaN,83.794,NaN,0.052816,1723314,2551.9,0.5122,0.47361,0.51476,0.3172,0.03605,0.12036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002289,8,50.265,90,0,NaN,14.997,1013.2,340.39,0.0055935,0.0010721
0.070007,0.56874,19.949,370.77,19.949,370.77,0,0,0,0,0,0,28.61,-80.6,9.7922,5.4315,0,0,0,6712.4,2450.8,0.93081,0.0053292,NaN,83.771,NaN,0.05887,1920847,2554.9,0.62486,0.47138,0.50547,0.31487,0.036065,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025541,8,50.265,90,0,NaN,14.996,1013.2,340.39,0.0050129,0.0011489
