# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,24.094,0,24.094,0,0,0,0,0,0,52.262,-0.11832,9.8126,90,0,0,0,878.78,96.637,0.058756,5.415e-4,NaN,45.214,NaN,0.022904,380061,29.797,0,0.58935,0,0.33036,0.13892,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.5,23.758,90,0,NaN,14.857,1010.7,340.3,0.01,8.3731e-4
0.01,0.0012047,0.24094,90.663,0.24094,90.663,0,0,0,0,0,0,52.262,-0.11832,9.8126,88.224,0,0,0,878.78,96.637,0.058756,5.415e-4,NaN,45.214,NaN,0.022851,379183,88.296,3.8023e-6,0.58941,4.33e-5,0.33042,0.13892,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1507e-5,5.5,23.758,90,0,NaN,14.857,1010.7,340.3,0.01,9.8983e-4
0.02,0.0081487,1.1479,116.18,1.1479,116.18,0,0,0,0,0,0,52.262,-0.11832,9.8126,81.575,0,0,0,878.42,96.277,0.058747,5.4147e-4,NaN,45.208,NaN,0.023024,382063,110.67,3.8351e-4,0.58923,0.0043018,0.33024,0.13892,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0247e-4,5.5,23.758,90,0,NaN,14.857,1010.7,340.3,0.01,0.0011063
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.025439,2.3103,117.88,2.3103,117.88,0,0,0,0,0,0,52.262,-0.11832,9.8126,73.358,0,0,0,877.89,95.745,0.058733,5.4141e-4,NaN,45.199,NaN,0.023705,393357,112.11,0.0028409,0.58856,0.030062,0.32956,0.13892,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0622e-4,5.5,23.758,90,0,NaN,14.857,1010.7,340.3,0.01,0.0012477
0.04,0.054439,3.4899,113.92,3.4899,113.92,0,0,0,0,0,0,52.262,-0.11832,9.8126,65.638,0,0,0,877.22,95.08,0.058716,5.4134e-4,NaN,45.188,NaN,0.024862,412552,108.55,0.0088482,0.58748,0.085121,0.32847,0.13893,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1152e-4,5.5,23.758,90,0,NaN,14.857,1010.7,340.3,0.01,0.0013616
0.05,0.095037,4.6298,109.93,4.6298,109.93,0,0,0,0,0,0,52.262,-0.11832,9.8126,58.935,0,0,0,876.57,94.421,0.0587,5.4127e-4,NaN,45.177,NaN,0.026366,437504,104.98,0.018696,0.58617,0.15993,0.32715,0.13893,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1327e-4,5.5,23.758,90,0,NaN,14.856,1010.7,340.3,0.01,0.0014951
0.06,0.14683,5.7298,109.96,5.7298,109.96,0,0,0,0,0,0,52.262,-0.11832,9.8126,53.348,0,0,0,875.91,93.761,0.058683,5.412e-4,NaN,45.165,NaN,0.028205,468033,104.95,0.032097,0.5847,0.23991,0.32566,0.13894,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1145e-4,5.5,23.758,90,0,NaN,14.856,1010.7,340.3,0.01,0.001644
0.07,0.20963,6.8301,112.77,6.8301,112.77,0,0,0,0,0,0,52.262,-0.11832,9.8126,48.484,0,0,0,875.23,93.089,0.058666,5.4113e-4,NaN,45.154,NaN,0.03028,502459,107.34,0.049325,0.58319,0.31989,0.32413,0.13894,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0967e-4,5.5,23.758,90,0,NaN,14.856,1010.6,340.3,0.01,0.0018711
0.08,0.28358,7.9585,115.58,7.9585,115.58,0,0,0,0,0,0,52.262,-0.11832,9.8126,44.169,0,0,0,874.55,92.406,0.058648,5.4106e-4,NaN,45.142,NaN,0.032604,541012,109.74,0.0708,0.58165,0.39605,0.32256,0.13895,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1039e-4,5.5,23.758,90,0,NaN,14.855,1010.6,340.3,0.01,0.0021311
